Mean Squared Error = 1.0005319681429627
UserID,MovieID,Pred_ratings
1,1172,4.990196078431371
1,1405,2.488290398126464
1,2193,5.0
1,2968,2.950483091787439
2,52,3.5123626373626378
2,144,3.5572858731924355
2,248,3.9210526315789473
2,314,3.6391843971631204
2,319,3.7559241706161153
2,370,3.4171779141104297
2,371,3.6351183063511834
2,372,3.6904761904761902
2,382,3.917209302325581
2,405,3.2405891980360075
2,485,3.2808219178082196
2,537,3.7436974789915967
2,550,3.869379014989292
2,616,3.791718946047679
2,661,3.6589958158995817
2,720,3.550960118168389
3,377,3.7496251874062962
3,592,3.6276595744680864
3,595,3.6102756892230583
3,736,3.2738589211618248
3,1197,3.911407766990291
3,1721,3.2389705882352953
3,2716,3.6229281767955803
3,5349,3.7495479204339963
3,8636,3.8722304283604134
3,44191,3.9268134715025895
3,84236,3.625
4,185,3.659009332376166
4,356,4.1991150442477885
4,357,3.7850622406638994
4,364,3.7933006535947706
4,410,4.104722792607803
4,435,3.536607142857143
4,440,3.633497536945813
4,442,3.4275802254986996
4,588,3.9789579158316624
4,589,4.44097995545657
4,594,4.069630872483221
4,596,4.054426705370102
4,610,3.760938490805327
4,616,3.752844500632111
4,919,4.361546499477532
4,1022,3.880382775119618
4,1028,4.339595375722544
4,1032,4.014134275618375
4,1033,3.8125
4,1282,4.37842617152962
4,1334,3.8225806451612905
4,1372,3.77792732166891
4,1580,3.8909090909090924
4,1858,4.4375
4,1967,4.034682080924855
4,2033,3.6908517350157726
4,2078,4.003805175038051
4,2081,3.6477272727272725
4,2085,3.8641810918774966
4,2087,4.244787644787645
4,2094,3.756341789052069
4,2096,4.027181688125895
4,2102,4.5625
4,2124,3.648424543946932
4,2141,3.6794625719769676
4,2454,4.3125
4,3034,4.119218241042346
4,3108,4.151445966514459
4,3255,4.119517543859649
4,3263,4.224020442930153
4,4006,4.1875
5,3,3.8489795918367333
5,39,4.000783699059561
5,104,3.9192634560906514
5,788,4.217067583046965
5,1247,3.7161629434954
